title,Element number,NIH Value,Element title,Generated Content
Technology development,element_1c,"Metadata: QC metrics for the genomic data types, data standards used, and metadata required for AnVIL 
submission
Associated Documentation: Methods and study protocol(s)",1. **Repository where scientific data and metadata will be archived:**,"Sequence and associated metadata will be deposited in NIH-approved repositories:
   - dbGaP (Database of Genotypes and Phenotypes): For controlled-access sharing of human genomic data.
   - Gene Expression Omnibus (GEO) or Sequence Read Archive (SRA): For RNA-seq and raw sequencing data, referencing dbGaP accession for controlled access.
   - BioSample/BioProject: For sample and project metadata."
Basic Research from a Non-Human Source Example,element_1c,"A detailed methods section outlining the collection of each scientific data generated with this work will be provided. Any step-by_x0002_step protocols developed in this project will be shared as a supplementary protocol document. Specifications about instruments 
and technologies used to produce this data will also be provided. 
• All steps in the data analysis pipelines and workflows will be characterized and documented on GitHub. 
• A data dictionary describing all phenotypic and clinical variables collected will be provided in MS Excel format and uploaded to the 
repository with the associated dataset. 
• A set of well-established standards and minimum metadata checklists exist for various aspects of transcriptomics. Minimum 
Information about a high-throughput nucleotide SEQuencing Experiment (MINSEQE) describes the minimum metadata that is 
needed to enable the unambiguous interpretation and facilitate reproduction of the results of the experiment and will be followed 
to the extent possible. ","3. **Metadata, other relevant data, and associated documentation:**","- Detailed data dictionaries describing each variable and its coding in the clinical/phenotypic dataset  
   - Experimental protocols (animal handling, tissue preparation, sequencing library preparation, imaging protocols)  
   - RNA-seq quality control and processing pipelines (including software versions and parameters)  
   - Microscopy acquisition settings and image annotation guidelines  
   - README files describing file structure and naming conventions  
   - Any relevant Institutional Animal Care and Use Committee (IACUC) approval documentation redacted as appropriate

**Element 2: Related Tools, Software and/or Code:**  
Raw and processed RNA-seq data will require standard bioinformatics tools for access and analysis, such as FastQC (for quality control), STAR or HISAT2 (for alignment), and DESeq2 or EdgeR (for differential expression analysis). These are open-source and widely available. Microscopy images can be viewed using open-source tools such as FIJI/ImageJ or QuPath. All tools will be referenced in the associated documentation. Custom scripts or pipelines developed for data processing will be shared via GitHub or as supplementary files in the data repository.

**Element 3: Standards:**  
- Clinical and Phenotypic Data: Variables will be coded using standard biomedical ontologies where available (e.g., Mouse Phenotype Ontology, NCBI Taxonomy for species, and Disease Ontology terms for outcome).  
- RNA-seq Data: Data and metadata will adhere to the Minimum Information About a Sequencing Experiment (MINSEQE) guidelines and will use standard formats such as FASTQ (raw), BAM/CRAM (aligned), and TSV/CSV (expression counts).  
- Microscopy Images: Image files will be stored in OME-TIFF or standard TIFF format with accompanying OME-XML metadata following the Open Microscopy Environment (OME) standards.  
- Metadata will be structured according to the ISA-Tab format to enable interoperability.

**Element 4: Data Preservation, Access, and Associated Timelines**"
Basic Research from a Non-Human Source Example,element_1c,"A detailed methods section outlining the collection of each scientific data generated with this work will be provided. Any step-by_x0002_step protocols developed in this project will be shared as a supplementary protocol document. Specifications about instruments 
and technologies used to produce this data will also be provided. 
• All steps in the data analysis pipelines and workflows will be characterized and documented on GitHub. 
• A data dictionary describing all phenotypic and clinical variables collected will be provided in MS Excel format and uploaded to the 
repository with the associated dataset. 
• A set of well-established standards and minimum metadata checklists exist for various aspects of transcriptomics. Minimum 
Information about a high-throughput nucleotide SEQuencing Experiment (MINSEQE) describes the minimum metadata that is 
needed to enable the unambiguous interpretation and facilitate reproduction of the results of the experiment and will be followed 
to the extent possible. ",1. **Repository where scientific data and metadata will be archived:**,"- RNA-seq data (raw and processed): NCBI Gene Expression Omnibus (GEO) and/or Sequence Read Archive (SRA)  
   - Clinical and phenotypic data: GEO supplementary files or the NIDDK Central Repository  
   - Microscopy images: The Image Data Resource (IDR) or NIDDK Central Repository (as appropriate)"
Secondary Data Analysis Example,element_1c,"Kidney volume will be estimated by a neural network trained using axial slices of dbGaP full-body MRI data. Manually created training 
data of known kidney volume from 95 subjects will be used to train and validate the model. Design choices and hyperparameter 
selections will be documented. The processing pipeline and related quality control metrics and thresholds will be defined and 
documented in a publication quality methods section. ","3. **Metadata, other relevant data, and associated documentation:**","To facilitate data interpretation, the following documentation and metadata will be provided:  
   - Data dictionary with detailed variable descriptions  
   - Data processing and analysis protocol (including algorithms and parameters used for kidney volume estimation)  
   - Documentation of cohort selection criteria  
   - Codebook describing value ranges and coding schemes  
   - README file with data use instructions and contact information

**Element 2: Related Tools, Software and/or Code:**  
The derived dataset will be provided in standard formats (CSV and/or Excel), which can be accessed using common statistical and spreadsheet software (e.g., R, Python, Microsoft Excel, SAS). Any custom code used for kidney volume estimation and data processing (e.g., scripts in R or Python) will be shared via a public repository (such as GitHub) and referenced in the documentation. No specialized or proprietary software will be required for data access.

**Element 3: Standards:**  
The clinical dataset will adhere to the NIH-recommended data standards for human subject research. Variables will be mapped to common data elements (CDEs) where applicable, such as those from the NIDDK Central Repository and the Clinical Data Interchange Standards Consortium (CDISC). Data will be de-identified according to HIPAA standards. Metadata will be provided using standard formats (e.g., data dictionaries, README files) to ensure interoperability. If no consensus standard exists for a given variable, definitions and coding will be clearly documented.

**Element 4: Data Preservation, Access, and Associated Timelines**"
Secondary Data Analysis Example,element_1c,"Kidney volume will be estimated by a neural network trained using axial slices of dbGaP full-body MRI data. Manually created training 
data of known kidney volume from 95 subjects will be used to train and validate the model. Design choices and hyperparameter 
selections will be documented. The processing pipeline and related quality control metrics and thresholds will be defined and 
documented in a publication quality methods section. ",1. **Repository where scientific data and metadata will be archived:**,"The derived dataset, metadata, and associated documentation will be deposited in the National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) Central Repository. If required for broader access, data may also be submitted to dbGaP as a derived dataset."
Survey and Interview Example,element_1c,"Documentation to be made publicly available to the research community will include PDF documents containing: 
• Survey instruments with proprietary measures redacted (Note we will not be at liberty to share proprietary 
instruments used in the survey but will provide citations and contact information for proper licensure)
• Interview guides 
• All data collection protocols including sample and subject selection methods
• Copies of blank, dated, stamped consent forms and IRB approvals, and resulting limitations of data usage
• Survey codebook including question number, question text, variable name, variable label, value labels, codes for 
missing, non-applicable, “don’t know,” and refusal values
• Methods used to code open-text survey responses
• Codebook for analyses of interviews, including a list and definition of all codes used, and coding examples 
• Steps taken to remove direct and indirect identifiers in the data 
• Description of software and analytical methods used in survey and interview data analyses 
• R code used in survey data analyses.
• A standard citation and unique identifier to facilitate attribution of data use. 
These will be shared in AnVIL. To the extent the context of data collection can be revealed without compromising 
privacy and identity of research participants, it will be included in study protocols. ","3. **Metadata, other relevant data, and associated documentation:**","The following metadata and documentation will be made accessible:
   - Data dictionaries for all survey variables, including descriptions, coding schemas, and provenance (e.g., source measures, such as PhenX IDs where applicable).
   - Full survey instrument, including all items and response options.
   - Interview guides/protocols.
   - Qualitative codebooks and a summary of coding procedures.
   - Study protocols and consent forms.
   - Documentation of redaction and deidentification procedures.

**Element 2: Related Tools, Software and/or Code:**  
Most shared data will be provided in non-proprietary formats (e.g., CSV for quantitative data, TXT or PDF for transcripts and documentation). Coding summary files and codebooks will be in CSV or XLSX formats. If qualitative data analysis code is shared, it will be compatible with widely available open-source tools such as R (e.g., RQDA, tidytext) or NVivo. Any custom code used for data processing or coding will be shared via a public GitHub repository. No specialized or proprietary software will be required to access the primary data files.

**Element 3: Standards:**  
The following data standards will be applied:
- Survey variables will use standard nomenclature and variable definitions as defined in the PhenX Toolkit where applicable.
- Data and metadata will be formatted according to NIH-recommended standards for tabular data (e.g., CSV with accompanying data dictionaries).
- Qualitative data will be structured in accordance with COREQ (Consolidated Criteria for Reporting Qualitative Research) guidelines.
- Metadata standards recommended by the selected repository (e.g., dbGaP, NIH Generalist Repository) will be followed to ensure interoperability.
For proprietary survey items, only variable codes and general constructs will be documented, in accordance with permissions.

**Element 4: Data Preservation, Access, and Associated Timelines**"
Survey and Interview Example,element_1c,"Documentation to be made publicly available to the research community will include PDF documents containing: 
• Survey instruments with proprietary measures redacted (Note we will not be at liberty to share proprietary 
instruments used in the survey but will provide citations and contact information for proper licensure)
• Interview guides 
• All data collection protocols including sample and subject selection methods
• Copies of blank, dated, stamped consent forms and IRB approvals, and resulting limitations of data usage
• Survey codebook including question number, question text, variable name, variable label, value labels, codes for 
missing, non-applicable, “don’t know,” and refusal values
• Methods used to code open-text survey responses
• Codebook for analyses of interviews, including a list and definition of all codes used, and coding examples 
• Steps taken to remove direct and indirect identifiers in the data 
• Description of software and analytical methods used in survey and interview data analyses 
• R code used in survey data analyses.
• A standard citation and unique identifier to facilitate attribution of data use. 
These will be shared in AnVIL. To the extent the context of data collection can be revealed without compromising 
privacy and identity of research participants, it will be included in study protocols. ",1. **Repository where scientific data and metadata will be archived:**,"Scientific data and metadata will be archived in the NIH-supported Generalist Repository (e.g., NIH Figshare, Dryad, or Zenodo) and/or NHGRI-designated repositories as appropriate. The final repository selection will be confirmed in consultation with the NHGRI program officer at time of data deposition."
Human Clinical Trial Data,element_1c,"Protocols, informed consent forms to participate in the trial and for biological sample collection, data 
dictionary, and code book will be shared with the data through the repositories. For data submitted to 
DASH, variable-level metadata will be provided using the DASH Codebook, which is a templated data 
dictionary, and will include details of Common Data Elements, definitions, and standards used for data 
collection and sharing. For data submitted to MIDRC, the data will be mapped to the Medical Imaging 
and Data Resource Center Commons dictionary. Other study-associated documentation including 
image acquisition parameters and image analysis workflow diagrams will also be submitted to MIDRC 
as supplementary files associated with the study to facilitate interpretation of the scientific data.","3. **Metadata, other relevant data, and associated documentation:**","The following metadata and documentation will be made accessible:
   - Data dictionaries and variable codebooks
   - REDCap case report forms and data collection instruments
   - Study protocol and statistical analysis plan
   - Imaging acquisition protocols and processing SOPs
   - Data deidentification procedures
   - Consent form language regarding data sharing
   - Description of data structure and file formats
   - Visit schedule and measurement timing documentation

**Element 2: Related Tools, Software and/or Code:**  
Most shared data are in standard, open formats (CSV, JPEG, DICOM, VOL). Accessing VOL files may require specialized 3D medical imaging software (e.g., Amira, 3D Slicer, or similar open-source tools). DICOM files can be viewed with open-source DICOM viewers (e.g., OsiriX, RadiAnt, 3D Slicer). All software listed is freely available or has open-source versions. No proprietary code is required for basic data access.

**Element 3: Standards:**  
Clinical data will be structured according to the Clinical Data Interchange Standards Consortium (CDISC) Study Data Tabulation Model (SDTM) standards for clinical trials. Imaging metadata will follow DICOM standards for medical images. All data will be deidentified per HIPAA Safe Harbor guidelines. Variable names and coding will be consistent with CDISC Controlled Terminology. Study-level metadata will utilize NIH Common Data Elements (CDEs) where applicable, and data dictionaries will conform to FAIR principles (Findable, Accessible, Interoperable, Reusable).

**Element 4: Data Preservation, Access, and Associated Timelines**"
Human Clinical Trial Data,element_1c,"Protocols, informed consent forms to participate in the trial and for biological sample collection, data 
dictionary, and code book will be shared with the data through the repositories. For data submitted to 
DASH, variable-level metadata will be provided using the DASH Codebook, which is a templated data 
dictionary, and will include details of Common Data Elements, definitions, and standards used for data 
collection and sharing. For data submitted to MIDRC, the data will be mapped to the Medical Imaging 
and Data Resource Center Commons dictionary. Other study-associated documentation including 
image acquisition parameters and image analysis workflow diagrams will also be submitted to MIDRC 
as supplementary files associated with the study to facilitate interpretation of the scientific data.",1. **Repository where scientific data and metadata will be archived:**,"Deidentified participant-level data and associated metadata will be deposited in the NICHD Data and Specimen Hub (DASH; https://dash.nichd.nih.gov/), an NIH-supported, domain-specific repository for maternal and child health research. Imaging data (DICOM, VOL, JPEG) will also be deposited in DASH or, if file size or modality requires, in a NIH-supported imaging repository such as the National Imaging Archive (NIA)."
Clinical data from human research participants-NIA,element_1c,"Briefly list the metadata, other relevant data, and any associated documentation (e.g., study protocols 
and data collection instruments) that will be made accessible to facilitate interpretation of the scientific 
data.
Operational definitions, data dictionaries, and programming code will be made available with data at the 
[Repository Name Here].","3. **Metadata, other relevant data, and associated documentation:**","Metadata to be provided will include data dictionaries, variable definitions, coding information, and descriptions of the data structure. Associated documentation such as study protocols, data collection instruments (including cognitive assessment tools), and data processing scripts will also be made accessible to facilitate interpretation and reuse of the scientific data.

**Element 2: Related Tools, Software and/or Code:**  
Standard statistical software such as R and Python (with commonly used data analysis packages) will be sufficient to access and manipulate the shared scientific data. Any custom code used for generating cognitive risk scores or preprocessing data will be provided as open-source scripts in a public code repository (e.g., GitHub). No specialized or proprietary software is required.

**Element 3: Standards:**  
The project will use standard health data terminologies, including LOINC for laboratory results, RxNorm for medications, and SNOMED CT or ICD-10 for diagnoses and medical history. Demographic and clinical variables will be mapped to the Observational Medical Outcomes Partnership (OMOP) Common Data Model where possible to facilitate interoperability. Metadata will adhere to the Data Documentation Initiative (DDI) standard. In cases where no consensus standards exist for a variable, detailed descriptions will be provided in the data dictionary.

**Element 4: Data Preservation, Access, and Associated Timelines**"
Clinical data from human research participants-NIA,element_1c,"Briefly list the metadata, other relevant data, and any associated documentation (e.g., study protocols 
and data collection instruments) that will be made accessible to facilitate interpretation of the scientific 
data.
Operational definitions, data dictionaries, and programming code will be made available with data at the 
[Repository Name Here].",1. **Repository where scientific data and metadata will be archived:**,"Scientific data and metadata will be archived in the National Institute on Aging (NIA) approved data repository, such as the National Institute on Aging Genetics of Alzheimer's Disease Data Storage Site (NIAGADS) or the NIH-supported generalist repository, Figshare."
"Survey, interview, and biological data (tiered access)",element_1c,"Metadata will include codebooks and user guides that provide variable descriptions, survey instruments 
and descriptions of collection processes, and guidance for use.","3. **Metadata, other relevant data, and associated documentation:**","The following metadata and documentation will be made accessible to facilitate interpretation:  
   - Data dictionaries describing variables, coding, and derived measures  
   - Survey and exam instruments (questionnaires, protocols)  
   - Codebooks and data user guides  
   - Study protocol and design documentation  
   - Data collection and processing SOPs  
   - Documentation of data cleaning and quality assurance procedures  

**Element 2: Related Tools, Software and/or Code:**  
No specialized or proprietary software is required to access or manipulate the shared scientific data. Data files will be shared in standard, non-proprietary formats (e.g., CSV, TXT, or Stata and SAS formats with accompanying documentation). Open-source statistical software (e.g., R) and widely available commercial packages (e.g., SPSS, Stata, SAS) can be used to analyze the data. All code used for data cleaning and derivation of variables will be made available as annotated scripts (e.g., R or Stata .do files).

**Element 3: Standards:**  
The project will use widely recognized data and metadata standards to facilitate interoperability and reuse:  
- Variables will be coded following NIH Common Data Elements (CDEs) where applicable (e.g., demographic, cognitive, and health variables).  
- Metadata will be structured using the Data Documentation Initiative (DDI) standard for social science datasets.  
- Biological data will use LOINC and SNOMED CT codes where relevant.  
- File formats will adhere to non-proprietary standards (e.g., CSV, PDF for documentation).  
These standards will be applied during data processing and documentation to ensure consistency and facilitate integration with other datasets.

**Element 4: Data Preservation, Access, and Associated Timelines**"
"Survey, interview, and biological data (tiered access)",element_1c,"Metadata will include codebooks and user guides that provide variable descriptions, survey instruments 
and descriptions of collection processes, and guidance for use.",1. **Repository where scientific data and metadata will be archived:**,"Scientific data and metadata will be archived in the National Archive of Computerized Data on Aging (NACDA), a domain-specific NIH-supported repository. Additional deposition may occur in the NIA-supported AgingResearchBiobank for biological data, as appropriate."
Non-human data (primates),element_1c,"All metadata, including analysis codes and data dictionaries will be shared.","3. **Metadata, other relevant data, and associated documentation:**","- Data dictionaries for all shared variables  
   - Study protocols and experimental procedures  
   - Data collection instruments and sensor/device specifications  
   - Variable codebooks and behavioral coding schemes  
   - Data processing pipelines/workflows  
   - Consent forms (template versions, excluding PHI)  
   - README files describing dataset structure and access instructions  

**Element 2: Related Tools, Software and/or Code:**  
  - Processed data (tables, CSV, or similar) can be accessed using standard statistical and spreadsheet software (e.g., R, Python, Excel).  
  - Raw physiological data may require open-source tools such as Kubios HRV or Biorec, and video data can be read with standard video players (e.g., VLC).  
  - Custom data processing scripts (e.g., Python, R, MATLAB) developed for this project will be made available in a public GitHub repository, with documentation and open-source licensing.  
  - Links and instructions for all required software/tools will be provided in the documentation.

**Element 3: Standards:**  
  - Behavioral and physiological data will adhere to the Brain Imaging Data Structure (BIDS) standard where applicable (e.g., BIDS-EEG and BIDS-behavior for event-locked data).  
  - Metadata will follow the NIH Common Data Elements (CDE) and NIA-recommended data elements for aging studies, including standardized demographic variables.  
  - Variable names, units, and value coding will be documented in data dictionaries using recognized ontologies (e.g., SNOMED CT for medical terms).  
  - Data and documentation will be provided in non-proprietary formats (e.g., CSV, JSON, MP4, EDF).  
  - No universal consensus standards exist for some behavioral video data; for these, internal documentation and codebooks will be used to maximize interpretability and interoperability.

**Element 4: Data Preservation, Access, and Associated Timelines**"
Non-human data (primates),element_1c,"All metadata, including analysis codes and data dictionaries will be shared.",1. **Repository where scientific data and metadata will be archived:**,"- Processed and de-identified data, metadata, and documentation will be deposited in the [NIH-supported National Institute on Aging (NIA) Aging Research Biobank](https://agingresearchbiobank.nia.nih.gov/) and/or [NIH Figshare instance](https://nih.figshare.com/).  
   - Raw video and physiological files will be archived in the institutional secure data repository with controlled access and registered in the NIA Biobank or dbGaP as appropriate."
Secondary data analysis-NIA,element_1c,"Analysis codes and user guides developed as part of the analysis will be shared. Data dictionaries and 
documentation will be provided for any new scales or variables generated from the secondary data as 
part of the metadata elements. ","3. **Metadata, other relevant data, and associated documentation:**","Metadata and documentation to be made accessible will include data dictionaries for derived variables, codebooks, detailed protocols describing the analytic approach, and README files explaining the structure and content of shared files. If applicable, documentation about data cleaning, harmonization, and analytic decisions will also be included to facilitate interpretation and reuse.

**Element 2: Related Tools, Software and/or Code:**  
The analytic code will be developed primarily in statistical software such as Stata and/or R. Access to these tools is required for full use of the shared code, but open-source alternatives (e.g., R) will be prioritized when possible. All code and associated documentation will be provided in standard formats (e.g., .do, .R, .txt) and will reference the version of the software used. Information on obtaining R (free and open-source) or Stata (commercial) will be provided in the documentation.

**Element 3: Standards:**  
Common data standards from the HRS and Centers for Medicare & Medicaid Services (CMS) datasets will be adhered to, including variable naming conventions and coding structures as defined by the original data providers. Metadata standards will follow the Dublin Core schema where applicable, to ensure interoperability and discoverability. If no consensus standards are available for specific derived variables, clear documentation and data dictionaries will be provided.

**Element 4: Data Preservation, Access, and Associated Timelines**"
Secondary data analysis-NIA,element_1c,"Analysis codes and user guides developed as part of the analysis will be shared. Data dictionaries and 
documentation will be provided for any new scales or variables generated from the secondary data as 
part of the metadata elements. ",1. **Repository where scientific data and metadata will be archived:**,"Analytic code, data dictionaries, and summary-level data will be archived in a recognized and publicly accessible repository such as the NIH-supported Open Science Framework (OSF) or the NIA Data Archive, as appropriate."
Survey and interview data-NIA,element_1c,"Metadata will include readme files, codebooks, survey instruments, analysis codes, and other supporting 
documentation.","3. **Metadata, other relevant data, and associated documentation:**","Metadata to accompany shared datasets will include participant demographic descriptors (age range, sex, relationship to care recipient), timepoint indicators, device information, and data collection dates (as per privacy guidelines). Associated documentation will include study protocols, data collection instruments (surveys, interview guides), codebooks for survey data, and a description of accelerometer device settings and data processing workflows.

**Element 2: Related Tools, Software and/or Code:**  
Accelerometer data will be provided in standard CSV format and can be accessed using common statistical software (e.g., R, Python, SPSS, SAS). No specialized proprietary software is required. Interview transcripts and survey data will be provided in plain text or CSV format. Any custom scripts used for data cleaning or processing will be shared on a public repository (e.g., GitHub) with documentation.

**Element 3: Standards:**  
Data and metadata will follow relevant standards to maximize interoperability. Accelerometer data will adhere to the [National Sleep Research Resource (NSRR)](https://sleepdata.org/) and [Open mHealth](https://www.openmhealth.org/) data schemas where applicable. Survey data will follow the [Clinical Data Interchange Standards Consortium (CDISC)](https://www.cdisc.org/) standards for tabular data. Metadata will be provided using [Dublin Core Metadata Element Set](https://dublincore.org/). For qualitative data, the [COREQ](https://academic.oup.com/intqhc/article/19/6/349/1791966) (Consolidated Criteria for Reporting Qualitative Research) guidelines will be followed. If any additional standards become available during the project period, these will be adopted.

**Element 4: Data Preservation, Access, and Associated Timelines**"
Survey and interview data-NIA,element_1c,"Metadata will include readme files, codebooks, survey instruments, analysis codes, and other supporting 
documentation.",1. **Repository where scientific data and metadata will be archived:**,"Scientific data and associated metadata will be deposited in the [NIH-supported National Archive of Computerized Data on Aging (NACDA)](https://www.icpsr.umich.edu/web/pages/NACDA/), which specializes in data relevant to aging research, and/or the [NIH Figshare generalist repository](https://nih.figshare.com/) if appropriate."
Human clinical and genomic data-NIA,element_1c,"Phenotype and pedigree data files will be submitted once the data has been cleaned (QA/QC checks), 
de-identified, and is ready for submission to NIAGADS. In accordance with NIAGADS submission 
requirements, phenotype data files will include a data dictionary listing each variable and data type 
description. A column indicating consent level for each subject will also be included and will match the 
consent levels specified on the Institutional Certification.","3. **Metadata, other relevant data, and associated documentation:**","Metadata to be shared will include detailed sample-level and study-level metadata (e.g., subject IDs, ancestry, case/control status, sequencing platform, library preparation methods, and data processing pipelines). Additional documentation will include study protocols, informed consent forms, data dictionaries, data collection instruments, and a data use limitations statement. Data harmonization and quality control documentation will also be provided to facilitate proper interpretation of the scientific data.

**Element 2: Related Tools, Software and/or Code:**  
Standard genomic data formats (FASTQ, BAM/CRAM, VCF) will be used, which are compatible with widely used bioinformatics tools such as SAMtools, GATK, PLINK, and bcftools. No proprietary or specialized software is required for basic access; all necessary tools are open-source and publicly available. Where relevant, links to recommended software and code for data preprocessing or analysis pipelines will be provided in the dataset documentation, including version numbers and access instructions.

**Element 3: Standards:**  
Data and metadata will adhere to established community standards for genomic and phenotypic data. Genomic data will follow the standards set by the Global Alliance for Genomics and Health (GA4GH), the National Center for Biotechnology Information (NCBI) Sequence Read Archive (SRA), and the dbGaP (Database of Genotypes and Phenotypes). Phenotypic and clinical data will use standardized vocabularies such as the Human Phenotype Ontology (HPO), ICD-10 codes, and Common Data Elements (CDEs) where applicable. Metadata will conform to the Minimal Information About a Sequencing Experiment (MINSEQE) guidelines. These standards will be applied throughout data generation, curation, and submission processes to ensure interoperability and reusability.

**Element 4: Data Preservation, Access, and Associated Timelines**"
Human clinical and genomic data-NIA,element_1c,"Phenotype and pedigree data files will be submitted once the data has been cleaned (QA/QC checks), 
de-identified, and is ready for submission to NIAGADS. In accordance with NIAGADS submission 
requirements, phenotype data files will include a data dictionary listing each variable and data type 
description. A column indicating consent level for each subject will also be included and will match the 
consent levels specified on the Institutional Certification.",1. **Repository where scientific data and metadata will be archived:**,"All sequencing and phenotypic data, along with associated metadata and documentation, will be deposited in the NIH-designated repositories dbGaP (Database of Genotypes and Phenotypes) and the National Institute on Aging Genetics of Alzheimer’s Disease Data Storage Site (NIAGADS), both of which are approved for the storage of human genomic and phenotypic data."
Non-human data (rodents)-NIA,element_1c,"To ensure proper interpretation, reuse, and reproducibility of the scientific data, comprehensive metadata and documentation will be made available alongside each dataset. General metadata for all data types will include details such as animal strain, sex, date of birth, age at the time of the experiment, laboratory and institution information, and drug treatment status, including concentration and route of administration. For electrophysiology data, additional metadata will capture electrode number and position, reference electrode type and location, equipment models, and recording parameters such as sampling rate and filter cut-offs. Behavioral data will be accompanied by metadata on equipment models (e.g., arena and camera), along with camera specifications including frame rate and resolution. Imaging data will include information on the targeted brain region, magnification, resolution, and color channels used. In addition to these metadata elements, associated documentation such as study protocols, data collection instruments, and standard operating procedures will be provided to support transparency and enable effective data reuse.","3. **Metadata, other relevant data, and associated documentation:**","Metadata to be shared will include:  
   - Subject-level information (age, sex, genotype, experimental group)  
   - Experimental protocols and procedures (surgery, behavioral tasks, electrophysiological recording parameters, imaging protocols)  
   - Data acquisition settings (hardware and software versions, sampling rates, filtering parameters)  
   - Data processing pipelines and code  
   - Data dictionaries and README files explaining data organization and formats  
   - Protocols for behavioral tests and image acquisition

**Element 2: Related Tools, Software and/or Code:**  
Specialized tools are required for data access and analysis:  
- Electrophysiology data: Open Ephys GUI, SpikeInterface, and custom Python/MATLAB scripts (to be shared via GitHub).  
- Behavioral data: OpenCV (Python) for video processing, DeepLabCut for pose estimation, and custom scripts (to be shared).  
- Imaging data: FIJI/ImageJ for confocal image viewing and analysis (open source).  
All custom code used for data processing and analysis will be made available in public repositories (e.g., GitHub) with documentation. All third-party tools are open source and freely available.

**Element 3: Standards:**  
The following data and metadata standards will be applied:  
- Electrophysiology data: Neurodata Without Borders (NWB:N 2.0) format for storing and sharing raw and processed data.  
- Behavioral data: Pose and trajectory data will be stored in CSV or HDF5 formats with metadata following the NWB extension where applicable.  
- Imaging data: Confocal image stacks will be provided in OME-TIFF format compliant with the Open Microscopy Environment (OME) standard.  
- Metadata: Organized according to the Minimum Information About a Neuroscience Investigation (MINI) guidelines and NWB metadata schemas.  
These standards will facilitate interoperability and reuse.

**Element 4: Data Preservation, Access, and Associated Timelines**"
Non-human data (rodents)-NIA,element_1c,"To ensure proper interpretation, reuse, and reproducibility of the scientific data, comprehensive metadata and documentation will be made available alongside each dataset. General metadata for all data types will include details such as animal strain, sex, date of birth, age at the time of the experiment, laboratory and institution information, and drug treatment status, including concentration and route of administration. For electrophysiology data, additional metadata will capture electrode number and position, reference electrode type and location, equipment models, and recording parameters such as sampling rate and filter cut-offs. Behavioral data will be accompanied by metadata on equipment models (e.g., arena and camera), along with camera specifications including frame rate and resolution. Imaging data will include information on the targeted brain region, magnification, resolution, and color channels used. In addition to these metadata elements, associated documentation such as study protocols, data collection instruments, and standard operating procedures will be provided to support transparency and enable effective data reuse.",1. **Repository where scientific data and metadata will be archived:**,"- Electrophysiology and behavioral data: OpenNeuro (https://openneuro.org)  
   - Imaging data: The Brain Image Library (BIL; https://www.brainimagelibrary.org)  
   - Code and documentation: GitHub and Zenodo for archival and DOI assignment"
Clinical data (human biospecimens),element_1c,"In addition to the subject level data described above, digital research material including but not limited 
to images, spreadsheets, protocols, and analysis scripts will be archived and made available","3. **Metadata, other relevant data, and associated documentation:**","The following will be made accessible:
   - Data dictionaries (variable names, definitions, allowable values)
   - Study protocols (enrollment, sample collection, assay methods)
   - Data collection forms and instruments (e.g., cognitive assessment scales)
   - Codebooks and data processing pipelines
   - Documentation of data cleaning and quality control procedures

**Element 2: Related Tools, Software and/or Code:**  
No specialized tools or proprietary software are required to access or analyze the shared datasets. All data will be provided in standard, non-proprietary formats (e.g., CSV, XLSX). Any code used for data processing or analysis (e.g., R scripts, Python code) will be shared via a public code repository (e.g., GitHub) and referenced in the data documentation.

**Element 3: Standards:**  
The project will employ established community data standards to maximize interoperability:
- Common Data Elements (CDEs) from the NIH/NIA Alzheimer’s Disease and Related Dementias (ADRD) CDEs will be used for demographic, clinical, and biomarker variables.
- Clinical and assay data will conform to standards such as LOINC codes for laboratory tests and Neuroimaging Data Model (NIDM) standards when applicable.
- Metadata will follow the Data Documentation Initiative (DDI) standard and will be mapped to the FAIR principles.
- If consensus standards are unavailable for specific biomarker assays (e.g., NPTX2), detailed assay protocols and measurement units will be provided to ensure reproducibility.

**Element 4: Data Preservation, Access, and Associated Timelines**"
Clinical data (human biospecimens),element_1c,"In addition to the subject level data described above, digital research material including but not limited 
to images, spreadsheets, protocols, and analysis scripts will be archived and made available",1. **Repository where scientific data and metadata will be archived:**,"Data and metadata will be archived in the National Institute on Aging Genetics of Alzheimer’s Disease Data Storage Site (NIAGADS; https://www.niagads.org/), a NIH-designated repository for aging and Alzheimer’s disease research data."
